Country,LAD code,LAD name,Rural Urban Classification (Note 1),Count (Note 3),"Libraries per 100,000 people"
England,E06000002,Middlesbrough,Urban with City and Town,9,5.895840157
England,E07000245,West Suffolk,Largely Rural,11,5.911976051
England,E06000058,"Bournemouth, Christchurch and Poole",Urban with City and Town,24,5.939858928
England,E07000042,Mid Devon,Mainly Rural,5,5.94191187
England,E07000234,Bromsgrove,Urban with City and Town,6,5.959534759
England,E07000119,Fylde,Urban with City and Town,5,5.963313694
England,E07000110,Maidstone,Urban with Significant Rural,11,5.972191306
England,E08000006,Salford,Urban with Major Conurbation,17,5.983682147
England,E06000054,Wiltshire,Largely Rural,31,5.984798612
England,E06000050,Cheshire West and Chester,Urban with Significant Rural,22,6.02639011
England,E08000028,Sandwell,Urban with Major Conurbation,21,6.042278687
England,E07000244,East Suffolk,Largely Rural,15,6.070416835
England,E08000021,Newcastle upon Tyne,Urban with Major Conurbation,19,6.090212068
England,E07000235,Malvern Hills,Largely Rural,5,6.110825939
England,E07000149,South Norfolk,Mainly Rural,9,6.136851795
England,E09000027,Richmond upon Thames,Urban with Major Conurbation,12,6.137699283
England,E08000022,North Tyneside,Urban with Major Conurbation,13,6.138764408
England,E07000195,Newcastle-under-Lyme,Urban with City and Town,8,6.247071685
England,E07000064,Rother,Largely Rural,6,6.324977335
Wales,W06000021,Monmouthshire,Wales,6,6.344372542
England,E06000051,Shropshire,Largely Rural,21,6.377938407
England,E06000052,Cornwall,Mainly Rural,37,6.397797774
England,E08000029,Solihull,Urban with Major Conurbation,14,6.39874219
England,E07000077,Uttlesford,Mainly Rural,6,6.41066735
Wales,W06000005,Flintshire,Wales,10,6.417990912
England,E07000082,Stroud,Urban with Significant Rural,8,6.423638991
England,E07000176,Rushcliffe,Largely Rural,8,6.459218112
England,E07000203,Mid Suffolk,Mainly Rural,7,6.479741551
England,E07000076,Tendring,Largely Rural,10,6.527116907
England,E06000011,East Riding of Yorkshire,Largely Rural,23,6.569195045
England,E06000007,Warrington,Urban with City and Town,14,6.591678477
England,E07000044,South Hams,Mainly Rural,6,6.604874397
England,E07000115,Tonbridge and Malling,Urban with Significant Rural,9,6.656509327
Wales,W06000014,Vale of Glamorgan,Wales,9,6.679877981
England,E06000065,North Yorkshire,Largely Rural,43,6.851181191
Wales,W06000011,Swansea,Wales,17,6.889787713
England,E07000130,Charnwood,Urban with City and Town,13,6.914525823
England,E07000043,North Devon,Largely Rural,7,6.96219528
England,E07000125,Rossendale,Urban with City and Town,5,6.988999315
England,E07000035,Derbyshire Dales,Mainly Rural,5,6.990074095
England,E06000022,Bath and North East Somerset,Urban with Significant Rural,14,7.006375802
England,E07000170,Ashfield,Urban with City and Town,9,7.011530072
England,E06000036,Bracknell Forest,Urban with City and Town,9,7.012021722
England,E07000221,Stratford-on-Avon,Mainly Rural,10,7.045776409
England,E07000196,South Staffordshire,Urban with Significant Rural,8,7.074136955
England,E06000047,County Durham,Largely Rural,38,7.14041437
England,E07000140,South Holland,Largely Rural,7,7.149057856
England,E07000112,Folkestone and Hythe,Urban with Significant Rural,8,7.207531871
England,E07000122,Pendle,Urban with City and Town,7,7.213594534
England,E07000046,Torridge,Mainly Rural,5,7.264274299
England,E07000045,Teignbridge,Largely Rural,10,7.29532953
England,E06000001,Hartlepool,Urban with City and Town,7,7.340142189
England,E07000144,Broadland,Urban with Significant Rural,10,7.376535241
England,E08000005,Rochdale,Urban with Major Conurbation,17,7.399153885
England,E07000139,North Kesteven,Mainly Rural,9,7.425558773
England,E07000107,Dartford,Urban with Major Conurbation,9,7.456565506
England,E07000067,Braintree,Largely Rural,12,7.502016167
England,E08000037,Gateshead,Urban with Major Conurbation,15,7.532427099
England,E07000173,Gedling,Urban with Minor Conurbation,9,7.59090104
England,E08000017,Doncaster,Urban with Minor Conurbation,24,7.639030352
England,E07000009,East Cambridgeshire,Mainly Rural,7,7.653117005
England,E07000116,Tunbridge Wells,Urban with Significant Rural,9,7.690992993
England,E07000147,North Norfolk,Mainly Rural,8,7.749835316
England,E07000124,Ribble Valley,Mainly Rural,5,7.755665514
England,E06000046,Isle of Wight,Mainly Rural,11,7.806622855
England,E07000179,South Oxfordshire,Mainly Rural,12,7.821462092
England,E07000132,Hinckley and Bosworth,Largely Rural,9,7.828129077
England,E07000080,Forest of Dean,Mainly Rural,7,7.855988508
Wales,W06000016,Rhondda Cynon Taf,Wales,19,7.877998822
England,E06000059,Dorset,Largely Rural,31,8.055944637
Wales,W06000006,Wrexham,Wales,11,8.079383616
Wales,W06000013,Bridgend,Wales,12,8.177562132
Wales,W06000008,Ceredigion,Wales,6,8.213552361
England,E06000013,North Lincolnshire,Urban with Significant Rural,14,8.231081741
